filename,device_id,full_path
2445104.png,2445104,/data/images/hit-images-final/artefacts/2445104.png
5270431.png,5270431,/data/images/hit-images-final/artefacts/5270431.png
10245995.png,10245995,/data/images/hit-images-final/artefacts/10245995.png
1661566.png,1661566,/data/images/hit-images-final/artefacts/1661566.png
2546357.png,2546357,/data/images/hit-images-final/artefacts/2546357.png
9423118.png,9423118,/data/images/hit-images-final/artefacts/9423118.png
2411757.png,2411757,/data/images/hit-images-final/artefacts/2411757.png
2500882.png,2500882,/data/images/hit-images-final/artefacts/2500882.png
9487453.png,9487453,/data/images/hit-images-final/artefacts/9487453.png
9487484.png,9487484,/data/images/hit-images-final/artefacts/9487484.png
1660491.png,1660491,/data/images/hit-images-final/artefacts/1660491.png
2500841.png,2500841,/data/images/hit-images-final/artefacts/2500841.png
9464045.png,9464045,/data/images/hit-images-final/artefacts/9464045.png
1631769.png,1631769,/data/images/hit-images-final/artefacts/1631769.png
2481230.png,2481230,/data/images/hit-images-final/artefacts/2481230.png
2547317.png,2547317,/data/images/hit-images-final/artefacts/2547317.png
1451757.png,1451757,/data/images/hit-images-final/artefacts/1451757.png
2574911.png,2574911,/data/images/hit-images-final/artefacts/2574911.png
1650397.png,1650397,/data/images/hit-images-final/artefacts/1650397.png
2546753.png,2546753,/data/images/hit-images-final/artefacts/2546753.png
1627889.png,1627889,/data/images/hit-images-final/artefacts/1627889.png
1625052.png,1625052,/data/images/hit-images-final/artefacts/1625052.png
2500921.png,2500921,/data/images/hit-images-final/artefacts/2500921.png
9419870.png,9419870,/data/images/hit-images-final/artefacts/9419870.png
9431642.png,9431642,/data/images/hit-images-final/artefacts/9431642.png
9421323.png,9421323,/data/images/hit-images-final/artefacts/9421323.png
9424501.png,9424501,/data/images/hit-images-final/artefacts/9424501.png
2453174.png,2453174,/data/images/hit-images-final/artefacts/2453174.png
1660042.png,1660042,/data/images/hit-images-final/artefacts/1660042.png
1683483.png,1683483,/data/images/hit-images-final/artefacts/1683483.png
1627321.png,1627321,/data/images/hit-images-final/artefacts/1627321.png
1683497.png,1683497,/data/images/hit-images-final/artefacts/1683497.png
5282062.png,5282062,/data/images/hit-images-final/artefacts/5282062.png
9425435.png,9425435,/data/images/hit-images-final/artefacts/9425435.png
1646052.png,1646052,/data/images/hit-images-final/artefacts/1646052.png
1429363.png,1429363,/data/images/hit-images-final/artefacts/1429363.png
5300049.png,5300049,/data/images/hit-images-final/artefacts/5300049.png
2466131.png,2466131,/data/images/hit-images-final/artefacts/2466131.png
